,Año,Emisión,Emisión_ID,Provincia,Provincia_ID,Emisión Anual
98,2012,As,1,Zamora,49,0.1291
99,2012,BaP,2,Zaragoza,50,0.1264
100,2012,Cd,3,Álava,1,0.202
101,2012,Ni,4,Albacete,2,2.6689
102,2012,PM10,5,Alicante,3,21.9283
103,2012,PM25,6,Almería,4,12.9886
104,2012,Pb,7,Ávila,5,0.0046
105,2012,As,1,Badajoz,6,0.3676
106,2012,BaP,2,Islas Baleares,7,0.0154
107,2012,Cd,3,Barcelona,8,0.3362
108,2012,Ni,4,Burgos,9,2.6689
109,2012,PM10,5,Cáceres,10,12.7091
110,2012,PM25,6,Cádiz,11,16.0152
111,2012,Pb,7,Castellón,12,0.012
112,2012,As,1,Ciudad Real,13,0.6776
113,2012,BaP,2,Córdoba,14,0.1264
114,2012,Cd,3,A Coruña,15,0.1242
115,2012,Ni,4,Cuenca,16,2.6689
116,2012,PM10,5,Girona,17,23.3875
117,2012,PM25,6,Granada,18,16.8535
118,2012,Pb,7,Guadalajara,19,0.0046
119,2012,As,1,Gipuzkoa,20,0.4654
120,2012,BaP,2,Huelva,21,0.1264
121,2012,Cd,3,Huesca,22,0.1242
122,2012,Ni,4,Jaén,23,3.1815
123,2012,PM10,5,León,24,19.2392
124,2012,PM25,6,Lleida,25,14.3356
125,2012,Pb,7,La Rioja,26,0.0046
126,2012,As,1,Lugo,27,0.4654
127,2012,BaP,2,Madrid,28,0.1188
128,2012,Cd,3,Málaga,29,0.0896
129,2012,Ni,4,Murcia,30,2.1947
130,2012,PM10,5,Navarra,31,19.2809
131,2012,PM25,6,Ourense,32,12.0044
132,2012,Pb,7,Asturias,33,0.0175
133,2012,As,1,Palencia,34,0.4654
134,2012,BaP,2,Las Palmas,35,0.1264
135,2012,Cd,3,Pontevedra,36,0.1242
136,2012,Ni,4,Salamanca,37,2.6689
137,2012,PM10,5,Santa Cruz de Tenerife,38,19.2809
138,2012,PM25,6,Cantabria,39,11.6095
139,2012,Pb,7,Segovia,40,0.0046
140,2012,As,1,Sevilla,41,0.8611
141,2012,BaP,2,Soria,42,0.1264
142,2012,Cd,3,Tarragona,43,0.1166
143,2012,Ni,4,Teruel,44,2.6689
144,2012,PM10,5,Toledo,45,11.7823
145,2012,PM25,6,Valencia,46,12.0044
146,2012,Pb,7,Valladolid,47,0.0101
147,2012,As,1,Bizkaia,48,0.7331
148,2012,BaP,2,Zamora,49,0.1264
149,2012,Cd,3,Zaragoza,50,0.1242
150,2012,Ni,4,Álava,1,2.3649
151,2012,PM10,5,Albacete,2,19.2809
152,2012,PM25,6,Alicante,3,13.4266
153,2012,Pb,7,Almería,4,0.0045
154,2012,As,1,Ávila,5,0.4654
155,2012,BaP,2,Badajoz,6,0.0325
156,2012,Cd,3,Islas Baleares,7,0.1801
157,2012,Ni,4,Barcelona,8,3.9854
158,2012,PM10,5,Burgos,9,19.2809
159,2012,PM25,6,Cáceres,10,12.0044
160,2012,Pb,7,Cádiz,11,0.0069
161,2012,As,1,Castellón,12,0.6681
162,2012,BaP,2,Ciudad Real,13,0.3992
163,2012,Cd,3,Córdoba,14,1.1759
164,2012,Ni,4,A Coruña,15,2.6689
165,2012,PM10,5,Cuenca,16,19.2809
