Edad simple;Sexo;Provincias;Periodo;Total
Todas las edades;Total;12 Castellón/Castelló;1 de enero de 2012;593.924
Todas las edades;Total;13 Ciudad Real;1 de enero de 2021;492.900
Todas las edades;Total;13 Ciudad Real;1 de enero de 2020;494.817
Todas las edades;Total;13 Ciudad Real;1 de enero de 2019;495.686
Todas las edades;Total;13 Ciudad Real;1 de enero de 2018;499.168
Todas las edades;Total;13 Ciudad Real;1 de enero de 2017;504.403
Todas las edades;Total;13 Ciudad Real;1 de enero de 2016;508.629
Todas las edades;Total;13 Ciudad Real;1 de enero de 2015;514.152
Todas las edades;Total;13 Ciudad Real;1 de enero de 2014;518.032
Todas las edades;Total;13 Ciudad Real;1 de enero de 2013;522.634
Todas las edades;Total;13 Ciudad Real;1 de enero de 2012;526.281
Todas las edades;Total;14 Córdoba;1 de enero de 2021;777.622
Todas las edades;Total;14 Córdoba;1 de enero de 2020;780.825
Todas las edades;Total;14 Córdoba;1 de enero de 2019;780.982
Todas las edades;Total;14 Córdoba;1 de enero de 2018;784.079
Todas las edades;Total;14 Córdoba;1 de enero de 2017;787.735
Todas las edades;Total;14 Córdoba;1 de enero de 2016;790.749
Todas las edades;Total;14 Córdoba;1 de enero de 2015;794.359
Todas las edades;Total;14 Córdoba;1 de enero de 2014;796.830
Todas las edades;Total;14 Córdoba;1 de enero de 2013;799.934
Todas las edades;Total;14 Córdoba;1 de enero de 2012;802.717
Todas las edades;Total;15 Coruña, A;1 de enero de 2021;1.120.501
Todas las edades;Total;15 Coruña, A;1 de enero de 2020;1.121.994
Todas las edades;Total;15 Coruña, A;1 de enero de 2019;1.120.432
Todas las edades;Total;15 Coruña, A;1 de enero de 2018;1.120.074
Todas las edades;Total;15 Coruña, A;1 de enero de 2017;1.120.302
Todas las edades;Total;15 Coruña, A;1 de enero de 2016;1.123.015
Todas las edades;Total;15 Coruña, A;1 de enero de 2015;1.127.596
Todas las edades;Total;15 Coruña, A;1 de enero de 2014;1.132.596
Todas las edades;Total;15 Coruña, A;1 de enero de 2013;1.137.890
Todas las edades;Total;15 Coruña, A;1 de enero de 2012;1.141.178
Todas las edades;Total;16 Cuenca;1 de enero de 2021;196.510
Todas las edades;Total;16 Cuenca;1 de enero de 2020;197.537
Todas las edades;Total;16 Cuenca;1 de enero de 2019;197.617
Todas las edades;Total;16 Cuenca;1 de enero de 2018;198.922
Todas las edades;Total;16 Cuenca;1 de enero de 2017;200.531
Todas las edades;Total;16 Cuenca;1 de enero de 2016;202.864
Todas las edades;Total;16 Cuenca;1 de enero de 2015;205.664
Todas las edades;Total;16 Cuenca;1 de enero de 2014;208.031
Todas las edades;Total;16 Cuenca;1 de enero de 2013;211.356
Todas las edades;Total;16 Cuenca;1 de enero de 2012;214.752
Todas las edades;Total;20 Gipuzkoa;1 de enero de 2021;725.508
Todas las edades;Total;20 Gipuzkoa;1 de enero de 2020;724.347
Todas las edades;Total;20 Gipuzkoa;1 de enero de 2019;719.613
Todas las edades;Total;20 Gipuzkoa;1 de enero de 2018;715.749
Todas las edades;Total;20 Gipuzkoa;1 de enero de 2017;713.130
Todas las edades;Total;20 Gipuzkoa;1 de enero de 2016;711.261
Todas las edades;Total;20 Gipuzkoa;1 de enero de 2015;709.766
Todas las edades;Total;20 Gipuzkoa;1 de enero de 2014;708.675
Todas las edades;Total;20 Gipuzkoa;1 de enero de 2013;709.043
Todas las edades;Total;20 Gipuzkoa;1 de enero de 2012;708.421
Todas las edades;Total;17 Girona;1 de enero de 2021;784.941
Todas las edades;Total;17 Girona;1 de enero de 2020;776.698
Todas las edades;Total;17 Girona;1 de enero de 2019;765.476
Todas las edades;Total;17 Girona;1 de enero de 2018;756.522
Todas las edades;Total;17 Girona;1 de enero de 2017;750.468
Todas las edades;Total;17 Girona;1 de enero de 2016;745.797
Todas las edades;Total;17 Girona;1 de enero de 2015;743.431
Todas las edades;Total;17 Girona;1 de enero de 2014;745.189
Todas las edades;Total;17 Girona;1 de enero de 2013;750.022
Todas las edades;Total;17 Girona;1 de enero de 2012;751.599
Todas las edades;Total;18 Granada;1 de enero de 2021;925.046
Todas las edades;Total;18 Granada;1 de enero de 2020;921.966
Todas las edades;Total;18 Granada;1 de enero de 2019;916.879
Todas las edades;Total;18 Granada;1 de enero de 2018;915.140
Todas las edades;Total;18 Granada;1 de enero de 2017;914.780
Todas las edades;Total;18 Granada;1 de enero de 2016;915.706
Todas las edades;Total;18 Granada;1 de enero de 2015;917.546
Todas las edades;Total;18 Granada;1 de enero de 2014;919.381
Todas las edades;Total;18 Granada;1 de enero de 2013;921.509
Todas las edades;Total;18 Granada;1 de enero de 2012;922.460
Todas las edades;Total;19 Guadalajara;1 de enero de 2021;265.969
