Diagnóstico_ID,Año,Diagnóstico,Sexo,Provincia,Provincia_ID,Hospitalizaciones
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Santa Cruz de Tenerife,38,1424
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Segovia,40,235
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Sevilla,41,2165
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Soria,42,39
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Tarragona,43,2081
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Teruel,44,78
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Toledo,45,859
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Valencia,46,4802
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Valladolid,47,1121
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Zamora,49,390
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Zaragoza,50,2891
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Álava,1,695
1,2020,"Neoplasia maligna de tráquea, bronquios y pulmón",Mujeres,Ávila,5,222
2,2020,Enfermedades de la circulación pulmonar,Hombres,A Coruña,15,2161
2,2020,Enfermedades de la circulación pulmonar,Hombres,Albacete,2,1035
2,2020,Enfermedades de la circulación pulmonar,Hombres,Alicante,3,3616
2,2020,Enfermedades de la circulación pulmonar,Hombres,Almería,4,964
2,2020,Enfermedades de la circulación pulmonar,Hombres,Asturias,33,2687
2,2020,Enfermedades de la circulación pulmonar,Hombres,Badajoz,6,2017
2,2020,Enfermedades de la circulación pulmonar,Hombres,Barcelona,8,14589
2,2020,Enfermedades de la circulación pulmonar,Hombres,Bizkaia,48,2710
2,2020,Enfermedades de la circulación pulmonar,Hombres,Burgos,9,846
2,2020,Enfermedades de la circulación pulmonar,Hombres,Cantabria,39,1026
2,2020,Enfermedades de la circulación pulmonar,Hombres,Castellón,12,963
2,2020,Enfermedades de la circulación pulmonar,Hombres,Ceuta,51,45
2,2020,Enfermedades de la circulación pulmonar,Hombres,Ciudad Real,13,1307
2,2020,Enfermedades de la circulación pulmonar,Hombres,Cuenca,16,517
2,2020,Enfermedades de la circulación pulmonar,Hombres,Cáceres,10,680
2,2020,Enfermedades de la circulación pulmonar,Hombres,Cádiz,11,1622
2,2020,Enfermedades de la circulación pulmonar,Hombres,Córdoba,14,1636
2,2020,Enfermedades de la circulación pulmonar,Hombres,Gipuzkoa,20,1420
2,2020,Enfermedades de la circulación pulmonar,Hombres,Girona,17,1232
2,2020,Enfermedades de la circulación pulmonar,Hombres,Granada,18,2695
2,2020,Enfermedades de la circulación pulmonar,Hombres,Guadalajara,19,613
2,2020,Enfermedades de la circulación pulmonar,Hombres,Huelva,21,978
2,2020,Enfermedades de la circulación pulmonar,Hombres,Huesca,22,538
2,2020,Enfermedades de la circulación pulmonar,Hombres,Islas Baleares,7,1948
2,2020,Enfermedades de la circulación pulmonar,Hombres,Jaén,23,1337
2,2020,Enfermedades de la circulación pulmonar,Hombres,La Rioja,26,1004
2,2020,Enfermedades de la circulación pulmonar,Hombres,Las Palmas,35,2229
2,2020,Enfermedades de la circulación pulmonar,Hombres,León,24,1654
2,2020,Enfermedades de la circulación pulmonar,Hombres,Lleida,25,682
2,2020,Enfermedades de la circulación pulmonar,Hombres,Lugo,27,954
2,2020,Enfermedades de la circulación pulmonar,Hombres,Madrid,28,15019
2,2020,Enfermedades de la circulación pulmonar,Hombres,Melilla,52,59
2,2020,Enfermedades de la circulación pulmonar,Hombres,Murcia,30,2283
2,2020,Enfermedades de la circulación pulmonar,Hombres,Málaga,29,3956
2,2020,Enfermedades de la circulación pulmonar,Hombres,Navarra,31,1285
2,2020,Enfermedades de la circulación pulmonar,Hombres,Ourense,32,840
2,2020,Enfermedades de la circulación pulmonar,Hombres,Palencia,34,428
2,2020,Enfermedades de la circulación pulmonar,Hombres,Pontevedra,36,1504
2,2020,Enfermedades de la circulación pulmonar,Hombres,Salamanca,37,1305
2,2020,Enfermedades de la circulación pulmonar,Hombres,Santa Cruz de Tenerife,38,1619
2,2020,Enfermedades de la circulación pulmonar,Hombres,Segovia,40,593
2,2020,Enfermedades de la circulación pulmonar,Hombres,Sevilla,41,2408
2,2020,Enfermedades de la circulación pulmonar,Hombres,Soria,42,493
2,2020,Enfermedades de la circulación pulmonar,Hombres,Tarragona,43,2051
2,2020,Enfermedades de la circulación pulmonar,Hombres,Teruel,44,306
2,2020,Enfermedades de la circulación pulmonar,Hombres,Toledo,45,1168
2,2020,Enfermedades de la circulación pulmonar,Hombres,Valencia,46,4655
2,2020,Enfermedades de la circulación pulmonar,Hombres,Valladolid,47,1679
2,2020,Enfermedades de la circulación pulmonar,Hombres,Zamora,49,544
2,2020,Enfermedades de la circulación pulmonar,Hombres,Zaragoza,50,2266
2,2020,Enfermedades de la circulación pulmonar,Hombres,Álava,1,766
2,2020,Enfermedades de la circulación pulmonar,Hombres,Ávila,5,481
2,2020,Enfermedades de la circulación pulmonar,Mujeres,A Coruña,15,2874
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Albacete,2,1015
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Alicante,3,3940
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Almería,4,976
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Asturias,33,3717
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Badajoz,6,2283
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Barcelona,8,17469
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Bizkaia,48,3309
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Burgos,9,1178
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Cantabria,39,1365
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Castellón,12,1112
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Ceuta,51,27
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Ciudad Real,13,1337
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Cuenca,16,414
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Cáceres,10,1316
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Cádiz,11,1766
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Córdoba,14,1608
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Gipuzkoa,20,1349
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Girona,17,1674
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Granada,18,2677
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Guadalajara,19,385
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Huelva,21,1026
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Huesca,22,426
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Islas Baleares,7,2320
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Jaén,23,1533
2,2020,Enfermedades de la circulación pulmonar,Mujeres,La Rioja,26,1031
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Las Palmas,35,3416
2,2020,Enfermedades de la circulación pulmonar,Mujeres,León,24,1793
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Lleida,25,1252
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Lugo,27,1008
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Madrid,28,17232
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Melilla,52,137
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Murcia,30,2394
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Málaga,29,3098
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Navarra,31,1553
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Ourense,32,1062
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Palencia,34,423
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Pontevedra,36,2519
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Salamanca,37,1329
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Santa Cruz de Tenerife,38,1945
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Segovia,40,635
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Sevilla,41,3117
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Soria,42,513
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Tarragona,43,2376
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Teruel,44,314
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Toledo,45,1644
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Valencia,46,5047
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Valladolid,47,1972
2,2020,Enfermedades de la circulación pulmonar,Mujeres,Zamora,49,536
