Diagnóstico,Provincia,Sexo,Hospitalizaciones,Habitantes,Porcentaje_H,Metales Pesados,Indice_Contaminación
Enfermedades de la circulación pulmonar,Burgos,Hombres,795,188155,0.42,3.2630999999999997,10.700000000000001
Enfermedades de la circulación pulmonar,Burgos,Mujeres,1397,184035,0.76,3.2630999999999997,10.700000000000001
Enfermedades de la circulación pulmonar,León,Hombres,1832,241096,0.76,1.8335000000000001,11.79924
Enfermedades de la circulación pulmonar,León,Mujeres,1830,251727,0.73,1.8335000000000001,11.79924
Enfermedades de la circulación pulmonar,Palencia,Hombres,502,84416,0.59,3.2630999999999997,10.092
Enfermedades de la circulación pulmonar,Palencia,Mujeres,603,85885,0.7,3.2630999999999997,10.092
Enfermedades de la circulación pulmonar,Salamanca,Hombres,1016,171226,0.59,3.2630999999999997,11.81175
Enfermedades de la circulación pulmonar,Salamanca,Mujeres,941,178399,0.53,3.2630999999999997,11.81175
Enfermedades de la circulación pulmonar,Segovia,Hombres,357,82478,0.43,3.2630999999999997,11.81175
Enfermedades de la circulación pulmonar,Segovia,Mujeres,277,80458,0.34,3.2630999999999997,11.81175
Enfermedades de la circulación pulmonar,Soria,Hombres,334,47977,0.7,1.6333,12.05892
Enfermedades de la circulación pulmonar,Soria,Mujeres,287,46486,0.62,1.6333,12.05892
Enfermedades de la circulación pulmonar,Valladolid,Hombres,1511,261249,0.58,1.1134,10.22991
Enfermedades de la circulación pulmonar,Valladolid,Mujeres,2161,271394,0.8,1.1134,10.22991
Enfermedades de la circulación pulmonar,Zamora,Hombres,505,95062,0.53,1.5228,5.64784
Enfermedades de la circulación pulmonar,Zamora,Mujeres,592,96244,0.62,1.5228,5.64784
Enfermedades de la circulación pulmonar,Albacete,Hombres,607,201085,0.3,3.2630999999999997,11.81175
Enfermedades de la circulación pulmonar,Albacete,Mujeres,946,200505,0.47,3.2630999999999997,11.81175
Enfermedades de la circulación pulmonar,Ciudad Real,Hombres,740,262148,0.28,4.3717,11.86631
Enfermedades de la circulación pulmonar,Ciudad Real,Mujeres,875,264134,0.33,4.3717,11.86631
Enfermedades de la circulación pulmonar,Cuenca,Hombres,449,108781,0.41,3.2630999999999997,11.81175
Enfermedades de la circulación pulmonar,Cuenca,Mujeres,534,105971,0.5,3.2630999999999997,11.81175
Enfermedades de la circulación pulmonar,Guadalajara,Hombres,291,132200,0.22,3.2630999999999997,5.2560400000000005
Enfermedades de la circulación pulmonar,Guadalajara,Mujeres,291,125531,0.23,3.2630999999999997,5.2560400000000005
Enfermedades de la circulación pulmonar,Toledo,Hombres,976,358439,0.27,2.9287,6.33242
Enfermedades de la circulación pulmonar,Toledo,Mujeres,1299,347143,0.37,2.9287,6.33242
Enfermedades de la circulación pulmonar,Barcelona,Hombres,7738,2703747,0.29,5.6978,15.95868
Enfermedades de la circulación pulmonar,Barcelona,Mujeres,11412,2814529,0.41,5.6978,15.95868
Enfermedades de la circulación pulmonar,Girona,Hombres,906,378879,0.24,3.4097999999999997,12.32667
Enfermedades de la circulación pulmonar,Girona,Mujeres,1204,372721,0.32,3.4097999999999997,12.32667
Enfermedades de la circulación pulmonar,Lleida,Hombres,650,223077,0.29,3.2177000000000002,14.171609999999998
Enfermedades de la circulación pulmonar,Lleida,Mujeres,823,215135,0.38,3.2177000000000002,14.171609999999998
Enfermedades de la circulación pulmonar,Tarragona,Hombres,1195,407510,0.29,4.3608,12.83207
Enfermedades de la circulación pulmonar,Tarragona,Mujeres,1905,399394,0.48,4.3608,12.83207
Enfermedades de la circulación pulmonar,Alicante,Hombres,2754,924452,0.3,3.5353,13.309829999999998
Enfermedades de la circulación pulmonar,Alicante,Mujeres,3161,928757,0.34,3.5353,13.309829999999998
Enfermedades de la circulación pulmonar,Castellón,Hombres,672,297669,0.23,3.1679,12.65228
Enfermedades de la circulación pulmonar,Castellón,Mujeres,742,296255,0.25,3.1679,12.65228
Enfermedades de la circulación pulmonar,Valencia,Hombres,3219,1265539,0.25,2.9603,12.747850000000001
Enfermedades de la circulación pulmonar,Valencia,Mujeres,4188,1296975,0.32,2.9603,12.747850000000001
Enfermedades de la circulación pulmonar,Badajoz,Hombres,2059,343428,0.6,5.2046,8.39911
Enfermedades de la circulación pulmonar,Badajoz,Mujeres,1963,348413,0.56,5.2046,8.39911
Enfermedades de la circulación pulmonar,Cáceres,Hombres,1033,206095,0.5,5.1063,9.82273
Enfermedades de la circulación pulmonar,Cáceres,Mujeres,911,206406,0.44,5.1063,9.82273
Enfermedades de la circulación pulmonar,A Coruña,Hombres,1808,549265,0.33,3.2630999999999997,12.468110000000001
Enfermedades de la circulación pulmonar,A Coruña,Mujeres,2680,591913,0.45,3.2630999999999997,12.468110000000001
Enfermedades de la circulación pulmonar,Lugo,Hombres,867,169176,0.51,3.2630999999999997,7.02206
Enfermedades de la circulación pulmonar,Lugo,Mujeres,940,178452,0.53,3.2630999999999997,7.02206
Enfermedades de la circulación pulmonar,Ourense,Hombres,841,158517,0.53,3.2630999999999997,11.81175
Enfermedades de la circulación pulmonar,Ourense,Mujeres,1138,169670,0.67,3.2630999999999997,11.81175
Enfermedades de la circulación pulmonar,Pontevedra,Hombres,2042,463897,0.44,3.2630999999999997,11.81175
Enfermedades de la circulación pulmonar,Pontevedra,Mujeres,3085,491025,0.63,3.2630999999999997,11.81175
Enfermedades de la circulación pulmonar,Madrid,Hombres,10119,3097459,0.33,4.6842,12.361179999999997
Enfermedades de la circulación pulmonar,Madrid,Mujeres,14926,3328114,0.45,4.6842,12.361179999999997
Enfermedades de la circulación pulmonar,Murcia,Hombres,1913,737239,0.26,2.5646,13.12825
Enfermedades de la circulación pulmonar,Murcia,Mujeres,2371,724690,0.33,2.5646,13.12825
Enfermedades de la circulación pulmonar,Navarra,Hombres,1181,319090,0.37,3.2630999999999997,11.82105
Enfermedades de la circulación pulmonar,Navarra,Mujeres,1887,320933,0.59,3.2630999999999997,11.82105
Enfermedades de la circulación pulmonar,Álava,Hombres,600,159551,0.38,2.9381,9.21949
Enfermedades de la circulación pulmonar,Álava,Mujeres,742,161015,0.46,2.9381,9.21949
Enfermedades de la circulación pulmonar,Bizkaia,Hombres,2193,559733,0.39,10.496599999999999,11.787949999999999
Enfermedades de la circulación pulmonar,Bizkaia,Mujeres,2944,595976,0.49,10.496599999999999,11.787949999999999
Enfermedades de la circulación pulmonar,Gipuzkoa,Hombres,1085,346871,0.31,3.2630999999999997,10.795620000000001
Enfermedades de la circulación pulmonar,Gipuzkoa,Mujeres,1346,361550,0.37,3.2630999999999997,10.795620000000001
Enfermedades de la circulación pulmonar,La Rioja,Hombres,990,160318,0.62,3.2630999999999997,11.02105
Enfermedades de la circulación pulmonar,La Rioja,Mujeres,1322,160633,0.82,3.2630999999999997,11.02105
Otras infecciones de las vias respiratorias inferiores,Almería,Hombres,1916,350979,0.55,5.455299999999999,14.133429999999999
Otras infecciones de las vias respiratorias inferiores,Almería,Mujeres,1892,338341,0.56,5.455299999999999,14.133429999999999
Otras infecciones de las vias respiratorias inferiores,Cádiz,Hombres,3997,620463,0.64,15.1766,15.8576
Otras infecciones de las vias respiratorias inferiores,Cádiz,Mujeres,4032,624899,0.65,15.1766,15.8576
Otras infecciones de las vias respiratorias inferiores,Córdoba,Hombres,1054,394505,0.27,4.0007,13.01471
Otras infecciones de las vias respiratorias inferiores,Córdoba,Mujeres,849,408212,0.21,4.0007,13.01471
Otras infecciones de las vias respiratorias inferiores,Granada,Hombres,1413,458053,0.31,6.7975,19.43961
Otras infecciones de las vias respiratorias inferiores,Granada,Mujeres,1334,464408,0.29,6.7975,19.43961
Otras infecciones de las vias respiratorias inferiores,Huelva,Hombres,1188,257850,0.46,6.4065,17.635229999999996
Otras infecciones de las vias respiratorias inferiores,Huelva,Mujeres,1499,262130,0.57,6.4065,17.635229999999996
Otras infecciones de las vias respiratorias inferiores,Jaén,Hombres,881,333760,0.26,3.7175000000000002,17.232229999999998
Otras infecciones de las vias respiratorias inferiores,Jaén,Mujeres,759,333500,0.23,3.7175000000000002,17.232229999999998
Otras infecciones de las vias respiratorias inferiores,Málaga,Hombres,1303,789052,0.17,3.6226,12.4383
Otras infecciones de las vias respiratorias inferiores,Málaga,Mujeres,1105,809085,0.14,3.6226,12.4383
Otras infecciones de las vias respiratorias inferiores,Sevilla,Hombres,3518,947826,0.37,3.792,15.827900000000001
Otras infecciones de las vias respiratorias inferiores,Sevilla,Mujeres,3305,984746,0.34,3.792,15.827900000000001
Otras infecciones de las vias respiratorias inferiores,Huesca,Hombres,858,114693,0.75,3.2630999999999997,10.09104
Otras infecciones de las vias respiratorias inferiores,Huesca,Mujeres,1326,111128,1.19,3.2630999999999997,10.09104
Otras infecciones de las vias respiratorias inferiores,Teruel,Hombres,501,73240,0.68,3.2630999999999997,11.239230000000001
Otras infecciones de las vias respiratorias inferiores,Teruel,Mujeres,822,69678,1.18,3.2630999999999997,11.239230000000001
Otras infecciones de las vias respiratorias inferiores,Zaragoza,Hombres,2815,481700,0.58,3.2630999999999997,11.80884
Otras infecciones de las vias respiratorias inferiores,Zaragoza,Mujeres,2745,493351,0.56,3.2630999999999997,11.80884
Otras infecciones de las vias respiratorias inferiores,Asturias,Hombres,1209,515503,0.23,1.2296,9.72262
Otras infecciones de las vias respiratorias inferiores,Asturias,Mujeres,1736,558801,0.31,1.2296,9.72262
Otras infecciones de las vias respiratorias inferiores,Islas Baleares,Hombres,6021,552593,1.09,5.261100000000001,10.8823
Otras infecciones de las vias respiratorias inferiores,Islas Baleares,Mujeres,8036,548122,1.47,5.261100000000001,10.8823
Otras infecciones de las vias respiratorias inferiores,Las Palmas,Hombres,3134,546215,0.57,3.2630999999999997,11.81175
Otras infecciones de las vias respiratorias inferiores,Las Palmas,Mujeres,3232,542836,0.6,3.2630999999999997,11.81175
Otras infecciones de las vias respiratorias inferiores,Santa Cruz de Tenerife,Hombres,2227,494731,0.45,3.2630999999999997,11.81175
Otras infecciones de las vias respiratorias inferiores,Santa Cruz de Tenerife,Mujeres,2880,502146,0.57,3.2630999999999997,11.81175
Otras infecciones de las vias respiratorias inferiores,Cantabria,Hombres,392,290133,0.14,2.9034,11.64288
Otras infecciones de las vias respiratorias inferiores,Cantabria,Mujeres,556,302254,0.18,2.9034,11.64288
Otras infecciones de las vias respiratorias inferiores,Ávila,Hombres,203,86617,0.23,3.2630999999999997,11.81175
Otras infecciones de las vias respiratorias inferiores,Ávila,Mujeres,279,84748,0.33,3.2630999999999997,11.81175
Otras infecciones de las vias respiratorias inferiores,Burgos,Hombres,782,188155,0.42,3.2630999999999997,10.700000000000001
Otras infecciones de las vias respiratorias inferiores,Burgos,Mujeres,836,184035,0.45,3.2630999999999997,10.700000000000001
Otras infecciones de las vias respiratorias inferiores,León,Hombres,1625,241096,0.67,1.8335000000000001,11.79924
Otras infecciones de las vias respiratorias inferiores,León,Mujeres,1798,251727,0.71,1.8335000000000001,11.79924
Otras infecciones de las vias respiratorias inferiores,Palencia,Hombres,464,84416,0.55,3.2630999999999997,10.092
Otras infecciones de las vias respiratorias inferiores,Palencia,Mujeres,443,85885,0.52,3.2630999999999997,10.092
Otras infecciones de las vias respiratorias inferiores,Salamanca,Hombres,954,171226,0.56,3.2630999999999997,11.81175
Otras infecciones de las vias respiratorias inferiores,Salamanca,Mujeres,1378,178399,0.77,3.2630999999999997,11.81175
Otras infecciones de las vias respiratorias inferiores,Segovia,Hombres,243,82478,0.29,3.2630999999999997,11.81175
Otras infecciones de las vias respiratorias inferiores,Segovia,Mujeres,527,80458,0.66,3.2630999999999997,11.81175
Otras infecciones de las vias respiratorias inferiores,Soria,Hombres,126,47977,0.26,1.6333,12.05892
Otras infecciones de las vias respiratorias inferiores,Soria,Mujeres,123,46486,0.26,1.6333,12.05892
Otras infecciones de las vias respiratorias inferiores,Valladolid,Hombres,1473,261249,0.56,1.1134,10.22991
Otras infecciones de las vias respiratorias inferiores,Valladolid,Mujeres,1851,271394,0.68,1.1134,10.22991
Otras infecciones de las vias respiratorias inferiores,Zamora,Hombres,421,95062,0.44,1.5228,5.64784
Otras infecciones de las vias respiratorias inferiores,Zamora,Mujeres,918,96244,0.95,1.5228,5.64784
