Diagnóstico,Provincia,Sexo,Hospitalizaciones,Habitantes,Porcentaje_H,Metales Pesados,Indice_Contaminación
5,45,1,87,271394,0.03,1.1134,10.2299
5,46,0,18,95062,0.02,1.5228,5.6478
5,46,1,29,96244,0.03,1.5228,5.6478
5,1,0,10,201085,0.0,3.2631,11.8118
5,1,1,7,200505,0.0,3.2631,11.8118
5,11,0,247,262148,0.09,4.3717,11.8663
5,11,1,71,264134,0.03,4.3717,11.8663
5,12,0,8,108781,0.01,3.2631,11.8118
5,12,1,20,105971,0.02,3.2631,11.8118
5,19,0,22,132200,0.02,3.2631,5.256
5,19,1,10,125531,0.01,3.2631,5.256
5,43,0,61,358439,0.02,2.9287,6.3324
5,43,1,60,347143,0.02,2.9287,6.3324
5,6,0,2661,2703747,0.1,5.6978,15.9587
5,6,1,2755,2814529,0.1,5.6978,15.9587
5,17,0,108,378879,0.03,3.4098,12.3267
5,17,1,5,372721,0.0,3.4098,12.3267
5,27,0,79,223077,0.04,3.2177,14.1716
5,27,1,115,215135,0.05,3.2177,14.1716
5,41,0,89,407510,0.02,4.3608,12.8321
5,41,1,107,399394,0.03,4.3608,12.8321
5,2,0,149,924452,0.02,3.5353,13.3098
5,2,1,299,928757,0.03,3.5353,13.3098
5,10,0,66,297669,0.02,3.1679,12.6523
5,10,1,54,296255,0.02,3.1679,12.6523
5,44,0,254,1265539,0.02,2.9603,12.7479
5,44,1,151,1296975,0.01,2.9603,12.7479
5,5,0,66,343428,0.02,5.2046,8.3991
5,5,1,30,348413,0.01,5.2046,8.3991
5,13,0,140,206095,0.07,5.1063,9.8227
5,13,1,18,206406,0.01,5.1063,9.8227
5,0,0,108,549265,0.02,3.2631,12.4681
5,0,1,100,591913,0.02,3.2631,12.4681
5,28,0,26,169176,0.02,3.2631,7.0221
5,28,1,27,178452,0.02,3.2631,7.0221
5,33,0,138,158517,0.09,3.2631,11.8118
5,33,1,151,169670,0.09,3.2631,11.8118
5,35,0,409,463897,0.09,3.2631,11.8118
5,35,1,170,491025,0.03,3.2631,11.8118
5,29,0,1373,3097459,0.04,4.6842,12.3612
5,29,1,1370,3328114,0.04,4.6842,12.3612
5,30,0,632,737239,0.09,2.5646,13.1282
5,30,1,517,724690,0.07,2.5646,13.1282
5,32,0,106,319090,0.03,3.2631,11.821
5,32,1,63,320933,0.02,3.2631,11.821
5,48,0,62,159551,0.04,2.9381,9.2195
5,48,1,26,161015,0.02,2.9381,9.2195
5,7,0,74,559733,0.01,10.4966,11.7879
5,7,1,88,595976,0.01,10.4966,11.7879
5,16,0,355,346871,0.1,3.2631,10.7956
5,16,1,352,361550,0.1,3.2631,10.7956
5,24,0,32,160318,0.02,3.2631,11.021
5,24,1,48,160633,0.03,3.2631,11.021
2,3,0,5637,350979,1.61,5.4553,14.1334
2,3,1,871,338341,0.26,5.4553,14.1334
2,14,0,8260,620463,1.33,15.1766,15.8576
2,14,1,2011,624899,0.32,15.1766,15.8576
2,15,0,6952,394505,1.76,4.0007,13.0147
2,15,1,1373,408212,0.34,4.0007,13.0147
2,18,0,5154,458053,1.13,6.7975,19.4396
2,18,1,595,464408,0.13,6.7975,19.4396
2,20,0,3316,257850,1.29,6.4065,17.6352
2,20,1,661,262130,0.25,6.4065,17.6352
2,23,0,5255,333760,1.57,3.7175,17.2322
2,23,1,823,333500,0.25,3.7175,17.2322
2,31,0,9331,789052,1.18,3.6226,12.4383
2,31,1,2871,809085,0.35,3.6226,12.4383
2,39,0,8491,947826,0.9,3.792,15.8279
2,39,1,1902,984746,0.19,3.792,15.8279
2,21,0,3063,114693,2.67,3.2631,10.091
2,21,1,521,111128,0.47,3.2631,10.091
2,42,0,2139,73240,2.92,3.2631,11.2392
2,42,1,372,69678,0.53,3.2631,11.2392
2,47,0,12002,481700,2.49,3.2631,11.8088
2,47,1,3263,493351,0.66,3.2631,11.8088
2,4,0,19294,515503,3.74,1.2296,9.7226
2,4,1,3698,558801,0.66,1.2296,9.7226
2,22,0,15561,552593,2.82,5.2611,10.8823
2,22,1,4997,548122,0.91,5.2611,10.8823
2,25,0,5725,546215,1.05,3.2631,11.8118
2,25,1,1682,542836,0.31,3.2631,11.8118
2,37,0,9097,494731,1.84,3.2631,11.8118
2,37,1,3701,502146,0.74,3.2631,11.8118
2,9,0,8052,290133,2.78,2.9034,11.6429
2,9,1,2108,302254,0.7,2.9034,11.6429
2,49,0,2665,86617,3.08,3.2631,11.8118
2,49,1,379,84748,0.45,3.2631,11.8118
2,8,0,6915,188155,3.68,3.2631,10.7
2,8,1,1732,184035,0.94,3.2631,10.7
2,26,0,13544,241096,5.62,1.8335,11.7992
2,26,1,3002,251727,1.19,1.8335,11.7992
2,34,0,3961,84416,4.69,3.2631,10.092
2,34,1,968,85885,1.13,3.2631,10.092
2,36,0,3428,171226,2.0,3.2631,11.8118
2,36,1,480,178399,0.27,3.2631,11.8118
2,38,0,2443,82478,2.96,3.2631,11.8118
2,38,1,565,80458,0.7,3.2631,11.8118
2,40,0,1355,47977,2.82,1.6333,12.0589
2,40,1,105,46486,0.23,1.6333,12.0589
2,45,0,6278,261249,2.4,1.1134,10.2299
2,45,1,1177,271394,0.43,1.1134,10.2299
